USA Major League Soccer,50262
Argentina Primera División,49223
English League Championship,47406
English Premier League,47268
Spain Primera Division,46508
Spanish Segunda División,42028
Italian Serie A,41018
French Ligue 1,40896
German 1. Bundesliga,39295
English League One,39257
Japanese J. League Division 1,38024
Turkish Süper Lig,37121
English League Two,36985
Portuguese Liga ZON SAGRES,34813
French Ligue 2,33987
German 2. Bundesliga,33796
German 3. Bundesliga,33656
Mexican Liga MX,32877
Holland Eredivisie,32744
Belgian Jupiler Pro League,32639
Polish T-Mobile Ekstraklasa,31255
Saudi Abdul L. Jameel League,29272
Romanian Liga I,27682
Chinese Super League,26774
Campeonato Brasileiro Série A,25830
Norwegian Eliteserien,24983
Swedish Allsvenskan,24392
Austrian Football Bundesliga,21233
Korean K League 1,21159
Scottish Premiership,20552
Danish Superliga,20056
Swiss Super League,17424
Australian Hyundai A-League,16858
Indian Super League,15655
Rep. Ireland Airtricity League,14657
Colombian Liga Postobón,12243
Liga de Fútbol Profesional Boliviano,11875
Paraguayan Primera División,11399
Ecuadorian Serie A,10963
Peruvian Primera División,10429
Venezuelan Primera División,9947
Chilian Campeonato Nacional,9902
Italian Serie B,8749
Uruguayan Primera División,8374
Greek Super League,7929
Russian Premier League,5729
Czech Republic Gambrinus Liga,5678
Ukrainian Premier League,4023
Croatian Prva HNL,3838
South African Premier Division,3761
Hungarian Nemzeti Bajnokság I,1913
Cypriot First Division,1825
UAE Arabian Gulf League,1800
English National League,1622
Finnish Veikkausliiga,1566
